Cust_ID,Date,Inv_no,inv_amt
411221,10.01.2022,177,77.87
411013,10.01.2022,181,30.00
411013,10.01.2022,190,3.20
411868,10.01.2022,182,177.80
411183,10.01.2022,184,21.60
411863,10.01.2022,185,18.70
411321,10.01.2022,186,30.00
411207,10.01.2022,187,182.86
4111799,10.01.2022,189,588.80
4111265,10.01.2022,193,158.80
411193,10.01.2022,194,41.00
411268_ks,10.01.2022,156,45.00
411575_ks,10.01.2022,160,74.40
4111624_ks,10.01.2022,162,103.00
4111356_ks,10.01.2022,171,44.50
411216,11.01.2022,201,29.40
411853,11.01.2022,203,9.10
411863,11.01.2022,204,101.50
411177,11.01.2022,208,6.84
411550,11.01.2022,209,13.11
411734,11.01.2022,210,14.40
4111271,11.01.2022,213,61.34
411193,11.01.2022,214,12.00
411193,11.01.2022,225,49.90
4111024,11.01.2022,217,100.44
411590,11.01.2022,218,173.20
411207,11.01.2022,221,137.98
411237,11.01.2022,222,98.00
411248,11.01.2022,224,56.60
4111435_ks,11.01.2022,179,16.00
4111463_ks,11.01.2022,181,34.56
411972_ks,11.01.2022,182,19.56
411972_ks,11.01.2022,184,44.00
4111463_ks,11.01.2022,187,15.60
411281_ks,11.01.2022,198,8.00
4111471_ks,11.01.2022,204,31.50
411846_ks,12.01.2022,206,85.01
411643_ks,12.01.2022,208,8.40
411777_ks,12.01.2022,209,14.40
4111463_ks,12.01.2022,211,49.32
411421_ks,12.01.2022,212,116.00
411780_ks,12.01.2022,216,76.50
4111143_ks,12.01.2022,220,14.00
411216,12.01.2022,232,55.80
4111823,12.01.2022,236,45.90
411237,12.01.2022,239,16.40
411188,12.01.2022,240,8.88
411336,12.01.2022,242,86.60
411248,12.01.2022,243,20.00
411207,12.01.2022,245,105.08
411660,12.01.2022,03-09-00,15.20
4111799,12.01.2022,248,144.40
411863,12.01.2022,249,38.40
411863,12.01.2022,251,13.78
411734,12.01.2022,254,24.00
411734,12.01.2022,255,12.00
411863,13.01.2022,257,28.60
411977,13.01.2022,259,39.60
411336,13.01.2022,260,36.46
411336,13.01.2022,280,34.80
411868,13.01.2022,263,30.00
4111671,13.01.2022,269,40.32
411196,13.01.2022,271,93.97
411306,13.01.2022,273,107.12
411550,13.01.2022,274,83.84
411321,13.01.2022,279,26.00
411188,13.01.2022,281,15.00
411237,13.01.2022,282,33.70
411193,13.01.2022,283,10.30
411773_ks,13.01.2022,221,73.68
411773_ks,13.01.2022,229,399.24
411188,14.01.2022,287,20.40
411188,14.01.2022,311,15.00
411977,14.01.2022,290,46.40
411863,14.01.2022,291,92.73
411863,14.01.2022,312,66.40
4111797,14.01.2022,292,26.80
411734,14.01.2022,296,9.40
411248,14.01.2022,298,9.80
411758,14.01.2022,301,539.39
411207,14.01.2022,303,138.65
411237,14.01.2022,304,22.36
4111651,14.01.2022,306,41.60
411321,14.01.2022,308,12.40
4111799,14.01.2022,309,425.40
411336,14.01.2022,314,45.00
411183,14.01.2022,297,34.40
411863,15.01.2022,320,77.08
411268_ks,14.01.2022,239,34.50
4111454_ks,14.01.2022,240,101.00
4111154_ks,14.01.2022,241,125.00
411287_ks,14.01.2022,242,207.00
411287_ks,14.01.2022,244,128.40
4111021_ks,14.01.2022,251,242.76
411216_ks,14.01.2022,253,24.55
411734,15.01.2022,325,5.96
411734,15.01.2022,330,46.00
411221,15.01.2022,318,33.60
411188,15.01.2022,319,21.60
411321,15.01.2022,321,45.00
411321,15.01.2022,337,17.00
411013,15.01.2022,322,46.00
411013,15.01.2022,344,20.00
411064,15.01.2022,323,21.31
411346,15.01.2022,324,118.70
411977,15.01.2022,326,6.80
411977,15.01.2022,338,14.00
411216,15.01.2022,327,40.80
4111402,15.01.2022,328,124.60
411237,15.01.2022,331,120.35
411863,15.01.2022,341,11.00
411207,15.01.2022,345,170.06
411863,17.01.2022,347,132.66
411321,17.01.2022,349,25.60
411248,17.01.2022,350,23.00
411346,17.01.2022,352,47.30
411216,17.01.2022,354,9.60
411183,17.01.2022,363,27.60
411207,17.01.2022,364,154.70
411013,17.01.2022,369,15.00
411177,17.01.2022,371,9.60
4111154_ks,15.01.2022,255,28.00
411777_ks,15.01.2022,256,36.00
4111529_ks,15.01.2022,266,138.00
411282_ks,15.01.2022,267,442.50
4111094_ks,15.01.2022,268,93.12
4111454_ks,17.01.2022,271,10.50
4111463_ks,17.01.2022,293,107.30
411271_ks,17.01.2022,295,81.00
411846_ks,17.01.2022,274,8.40
411972_ks,17.01.2022,279,26.32
411268_ks,17.01.2022,270,17.00
411268_ks,17.01.2022,276,33.00
411643_ks,17.01.2022,287,10.20
411780_ks,17.01.2022,286,88.50
411428_ks,17.01.2022,292,33.00
4111154_ks,17.01.2022,272,24.00
411321,18.01.2022,373,13.00
411321,18.01.2022,389,25.60
411106,18.01.2022,376,54.64
411106,18.01.2022,380,6.00
411074,18.01.2022,377,73.30
411074,18.01.2022,386,73.10
411074,18.01.2022,397,64.32
411216,18.01.2022,378,6.72
411291,18.01.2022,391,99.00
411336,18.01.2022,394,35.00
411336,18.01.2022,395,96.00
411863,18.01.2022,396,219.52
411863,18.01.2022,401,34.65
411207,18.01.2022,398,149.40
4111197,18.01.2022,402,22.00
4111197,18.01.2022,405,37.55
4111799,18.01.2022,404,415.78
4111263,18.01.2022,406,37.80
411780_ks,18.01.2022,303,119.00
411268_ks,18.01.2022,306,90.00
411550_ks,18.01.2022,313,742.56
411237,19.01.2022,430,101.90
411377,19.01.2022,417,8.90
411248,19.01.2022,410,71.60
411248,19.01.2022,424,6.50
411248,19.01.2022,432,14.00
411015,19.01.2022,415,91.34
4111734,19.01.2022,416,101.60
411216,19.01.2022,422,18.84
411207,19.01.2022,425,48.54
411344,19.01.2022,429,6.53
411013,19.01.2022,431,26.40
411872_ks,19.01.2022,329,90.00
411634_ks,19.01.2022,314,406.56
411634_ks,19.01.2022,321,223.00
4111051_ks,19.01.2022,315,63.00
411836_ks,19.01.2022,324,92.00
411777_ks,19.01.2022,328,64.80
411207,20.01.2022,453,85.14
4111197,20.01.2022,449,25.31
411853,20.01.2022,435,59.34
411321,20.01.2022,436,9.40
411013,20.01.2022,438,73.00
411528,20.01.2022,439,73.80
411528,20.01.2022,440,154.32
411528,20.01.2022,441,60.60
411528,20.01.2022,442,81.24
411528,20.01.2022,455,23.93
411291,20.01.2022,443,46.00
411188,20.01.2022,444,4.68
411188,20.01.2022,447,5.10
411188,20.01.2022,457,-5.10
411248,20.01.2022,445,10.60
411106,20.01.2022,448,77.08
4111271,20.01.2022,450,6.24
411585,20.01.2022,451,11.30
4111197,20.01.2022,452,32.80
411183,20.01.2022,454,28.60
411375_ks,20.01.2022,340,43.00
411502_ks,20.01.2022,332,6.00
411972_ks,20.01.2022,347,81.36
411972_ks,20.01.2022,355,31.20
411780_ks,20.01.2022,331,63.00
411428_ks,20.01.2022,357,6.50
4111152_ks,20.01.2022,342,20.00
411972_ks,04.01.2022,70,45.00
411106,21.01.2022,470,-40.00
411106,21.01.2022,471,4.32
4111734,21.01.2022,466,69.60
411237,21.01.2022,462,116.00
411237,21.01.2022,484,112.00
411248,21.01.2022,461,3.70
411248,21.01.2022,476,32.00
411248,21.01.2022,477,35.20
411863,21.01.2022,468,51.70
411863,21.01.2022,485,62.00
411106,21.01.2022,472,148.16
4111671,21.01.2022,474,209.60
411321,21.01.2022,475,29.80
411207,21.01.2022,478,80.40
411336,21.01.2022,479,68.00
4111197,21.01.2022,480,16.50
4111651,21.01.2022,483,70.00
411634_ks,21.01.2022,359,23.00
411634_ks,21.01.2022,365,-93.50
411836_ks,21.01.2022,360,67.00
4111471_ks,21.01.2022,362,5.00
411846_ks,21.01.2022,364,8.40
411846_ks,21.01.2022,372,19.80
411237,22.01.2022,493,43.36
411237,22.01.2022,499,217.00
411868,22.01.2022,489,66.00
4111068,22.01.2022,491,27.00
411853,22.01.2022,496,55.80
411221,22.01.2022,498,9.00
411734,22.01.2022,500,13.20
411836_ks,22.01.2022,376,73.50
411343_ks,22.01.2022,380,13.00
411972_ks,22.01.2022,392,12.00
411196,24.01.2022,514,41.00
411321,24.01.2022,502,48.80
411321,24.01.2022,504,20.60
411321,24.01.2022,510,58.00
411863,24.01.2022,503,96.19
411734,24.01.2022,505,10.60
411346,24.01.2022,506,60.80
411083,24.01.2022,508,33.00
4111671,24.01.2022,509,18.12
411853,24.01.2022,511,17.40
411207,24.01.2022,512,116.16
411193,24.01.2022,513,26.85
411013,24.01.2022,520,80.00
4111232_ks,24.01.2022,386,47.00
411660_ks,24.01.2022,387,228.50
4111471_ks,24.01.2022,388,9.00
411854_ks,24.01.2022,396,20.50
411268_ks,24.01.2022,397,57.50
411630_ks,24.01.2022,398,35.50
411863,25.01.2022,525,60.00
411863,25.01.2022,539,177.97
411106,25.01.2022,528,46.24
411106,25.01.2022,529,71.32
4111823,25.01.2022,533,9.43
4111797,25.01.2022,538,11.48
411634_ks,24.01.2022,410,115.20
411846_ks,25.01.2022,404,47.28
411836_ks,25.01.2022,405,78.00
4111143_ks,25.01.2022,407,48.50
411977,26.01.2022,543,47.80
411977,26.01.2022,549,22.80
411074,26.01.2022,552,54.80
411193,26.01.2022,556,6.40
411193,26.01.2022,561,15.00
411193,26.01.2022,571,58.00
411177,26.01.2022,557,8.16
411013,26.01.2022,559,32.30
411013,26.01.2022,576,13.60
411853,26.01.2022,560,86.40
411336,26.01.2022,562,78.00
411248,26.01.2022,563,16.00
411346,26.01.2022,567,111.40
411237,26.01.2022,577,73.30
411428_ks,26.01.2022,411,56.00
4111431_ks,26.01.2022,413,80.96
411634_ks,26.01.2022,416,57.60
411972_ks,26.01.2022,419,12.00
411074,27.01.2022,579,24.50
4111271,27.01.2022,581,138.64
4111402,27.01.2022,583,61.00
411216,27.01.2022,584,17.16
411177,27.01.2022,596,20.16
411321,27.01.2022,588,49.00
411868,27.01.2022,592,740.00
411248,27.01.2022,593,5.00
411083,27.01.2022,594,24.80
411532,27.01.2022,595,155.93
411734,27.01.2022,597,24.30
411207,27.01.2022,599,103.32
411072,27.01.2022,601,54.00
411836_ks,27.01.2022,427,20.00
411892_ks,27.01.2022,428,13.92
411340_ks,27.01.2022,431,12.00
411846_ks,27.01.2022,433,46.08
411291_ks,27.01.2022,432,6.00
4111454_ks,27.01.2022,435,116.00
411972_ks,27.01.2022,437,193.40
4111094_ks,27.01.2022,438,161.88
4111578_ks,27.01.2022,439,86.00
411421_ks,27.01.2022,442,114.00
4111671,28.01.2022,604,88.12
411183,28.01.2022,605,18.60
4111799,28.01.2022,608,132.30
4111799,28.01.2022,616,253.60
4111734,28.01.2022,610,99.20
411248,28.01.2022,611,13.00
411532,28.01.2022,613,127.80
411446,28.01.2022,615,38.18
411072,28.01.2022,617,5.60
4111402,28.01.2022,618,42.40
411758,28.01.2022,619,92.94
411013,28.01.2022,609,24.50
4111276_ks,28.01.2022,443,61.00
411846_ks,28.01.2022,445,38.40
411428_ks,28.01.2022,446,68.00
411630_ks,28.01.2022,451,20.50
4111651,30.01.2022,643,43.32
411064,29.01.2022,622,18.50
411188,29.01.2022,626,20.40
411188,29.01.2022,629,7.56
411863,29.01.2022,630,76.01
411196,29.01.2022,631,69.20
411734,29.01.2022,632,23.50
4111402,29.01.2022,633,32.40
4111197,29.01.2022,634,-16.50
411177,29.01.2022,639,50.98
411207,29.01.2022,642,165.80
411268_ks,29.01.2022,452,55.50
411846_ks,29.01.2022,453,19.94
411846_ks,29.01.2022,462,10.20
411836_ks,29.01.2022,454,45.50
411428_ks,29.01.2022,455,12.50
4111463_ks,29.01.2022,458,85.00
411428_ks,31.01.2022,464,44.00
411846_ks,31.01.2022,465,6.00
411780_ks,31.01.2022,466,73.00
4111463_ks,31.01.2022,468,64.00
411428_ks,31.01.2022,469,19.00
4111205_ks,31.01.2022,471,138.16
411196,31.01.2022,660,103.00
411196,31.01.2022,666,12.28
411106,31.01.2022,645,223.84
411868,31.01.2022,646,84.00
411868,31.01.2022,657,36.72
411868,31.01.2022,661,198.16
411183,31.01.2022,649,33.90
411183,31.01.2022,668,33.60
4111271,31.01.2022,653,139.84
411193,31.01.2022,655,2.00
4111797,31.01.2022,658,27.80
411321,31.01.2022,659,59.40
411346,31.01.2022,665,72.40
411237,31.01.2022,667,119.40
411106,01.02.2022,671,46.00
411863,01.02.2022,673,119.10
4111799,01.02.2022,678,128.09
411072,01.02.2022,680,19.60
411207,01.02.2022,681,169.10
411268,01.02.2022,682,28.00
4111671,01.02.2022,684,59.52
411013,01.02.2022,686,38.80
411428_ks,01.02.2022,479,109.00
411271_ks,01.02.2022,486,41.00
411321,02.02.2022,701,35.00
411846_ks,02.02.2022,489,25.80
411421_ks,02.02.2022,499,78.00
411196,02.02.2022,691,119.30
411868,02.02.2022,690,105.60
411868,02.02.2022,696,72.00
411868,02.02.2022,697,60.00
411853,02.02.2022,692,42.60
411013,02.02.2022,695,6.80
411074,02.02.2022,699,123.70
4111263,02.02.2022,703,47.16
4111263,02.02.2022,706,11.52
411207,02.02.2022,704,141.12
411237,02.02.2022,705,36.34
411972_ks,02.02.2022,490,92.38
4111454_ks,02.02.2022,492,-171.00
411660_ks,02.02.2022,493,22.00
411417_ks,02.02.2022,495,43.50
411780_ks,02.02.2022,500,55.00
411268_ks,02.02.2022,502,48.00
411863,03.02.2022,711,100.00
411196,03.02.2022,716,51.50
411196,03.02.2022,734,59.70
411977,03.02.2022,717,40.40
411248,03.02.2022,719,42.00
411183,03.02.2022,720,25.10
4111671,03.02.2022,722,37.42
411031,03.02.2022,725,338.10
411221,03.02.2022,730,21.20
411064,03.02.2022,731,44.00
411660,03.02.2022,732,65.00
411734,03.02.2022,733,12.30
4111180,03.02.2022,737,23.00
411013,03.02.2022,738,29.80
411590,03.02.2022,739,19.60
411193,03.02.2022,742,6.20
4111181,03.02.2022,746,10.00
4111154_ks,03.02.2022,505,73.00
4111356_ks,03.02.2022,506,15.00
411846_ks,03.02.2022,509,39.12
4111335_ks,03.02.2022,511,12.00
411854_ks,03.02.2022,515,38.00
411780_ks,03.02.2022,520,62.00
411777_ks,03.02.2022,523,36.60
411786_ks,03.02.2022,524,59.40
411183,04.02.2022,747,11.60
411027,04.02.2022,749,48.70
411590,04.02.2022,752,54.10
411188,04.02.2022,758,40.68
411064,04.02.2022,759,77.00
411064,04.02.2022,768,462.00
411248,04.02.2022,763,18.00
411207,04.02.2022,764,135.30
411237,04.02.2022,765,122.00
4111197,04.02.2022,766,43.00
411257,04.02.2022,769,65.00
4111671,04.02.2022,770,46.80
4111263,04.02.2022,771,33.00
411221,04.02.2022,773,6.60
411193,04.02.2022,755,46.90
411493_ks,04.02.2022,527,16.00
411343_ks,04.02.2022,528,89.00
411846_ks,04.02.2022,529,61.92
411355_ks,04.02.2022,533,7.50
411777_ks,04.02.2022,534,21.60
411815_ks,04.02.2022,536,66.00
411428_ks,04.02.2022,539,58.50
411064,05.02.2022,787,-44.00
411083,05.02.2022,786,8.00
411590,05.02.2022,774,29.00
411863,05.02.2022,775,6.93
411863,05.02.2022,781,159.34
411237,05.02.2022,796,66.00
411248,05.02.2022,797,54.60
411013,05.02.2022,799,9.00
411428_ks,05.02.2022,542,17.50
4111454_ks,05.02.2022,543,16.50
4111217_ks,05.02.2022,551,150.98
411977,07.02.2022,812,35.00
411734,07.02.2022,801,7.30
411106,07.02.2022,803,46.24
411072,07.02.2022,805,25.10
411016,07.02.2022,808,98.80
411207,07.02.2022,814,175.50
411027,07.02.2022,816,23.50
4111402,07.02.2022,817,17.52
411336,07.02.2022,818,14.40
411336,08.02.2022,829,83.88
411428_ks,07.02.2022,549,19.00
411972_ks,07.02.2022,563,37.20
4111454_ks,07.02.2022,564,25.50
411780_ks,07.02.2022,568,45.00
411395_ks,07.02.2022,573,6.97
4111042_ks,07.02.2022,576,51.00
4111021_ks,07.02.2022,577,194.04
411106,08.02.2022,821,62.66
411106,08.02.2022,824,35.38
411216,08.02.2022,823,27.96
411377,08.02.2022,826,12.20
411734,08.02.2022,828,7.90
411734,08.02.2022,833,30.60
411083,08.02.2022,831,22.00
411106,09.02.2022,851,-4.80
411977,08.02.2022,834,20.80
411346,08.02.2022,836,82.20
411863,08.02.2022,838,219.45
4111983,08.02.2022,839,4.70
411014,08.02.2022,840,233.99
411248,08.02.2022,843,40.00
411868,08.02.2022,844,240.72
411836_ks,08.02.2022,583,11.00
4111671,09.02.2022,848,36.60
4111265,09.02.2022,849,103.20
411177,09.02.2022,852,30.00
411013,09.02.2022,855,33.50
411013,09.02.2022,860,8.00
411013,09.02.2022,861,28.29
411321,09.02.2022,856,18.60
411321,09.02.2022,866,39.00
411196,09.02.2022,858,80.60
411221,09.02.2022,859,14.00
411216,09.02.2022,862,9.48
4111092,09.02.2022,864,457.80
411248,09.02.2022,865,11.00
411346,09.02.2022,867,41.69
411346,09.02.2022,868,102.80
411346,09.02.2022,869,34.00
411207,09.02.2022,871,149.38
411047,09.02.2022,872,6.30
411237,09.02.2022,874,58.80
411846_ks,09.02.2022,604,24.00
4111232_ks,09.02.2022,607,54.50
411207,10.02.2022,902,138.04
411072,10.02.2022,875,10.95
411072,10.02.2022,882,16.10
411977,10.02.2022,879,100.00
411013,10.02.2022,883,43.00
411013,10.02.2022,909,11.70
411734,10.02.2022,884,8.00
411323,10.02.2022,885,31.97
411083,10.02.2022,889,15.60
411177,10.02.2022,892,14.16
411863,10.02.2022,898,127.00
411868,10.02.2022,900,213.48
411216,10.02.2022,910,18.36
4111271,10.02.2022,918,12.00
4111024,10.02.2022,923,112.68
411268_ks,10.02.2022,609,52.00
411846_ks,10.02.2022,610,58.32
411846_ks,10.02.2022,617,-61.92
411340_ks,10.02.2022,613,30.00
411271_ks,10.02.2022,614,115.50
411846_ks,10.02.2022,615,9.60
411327_ks,10.02.2022,616,146.50
411836_ks,10.02.2022,618,70.00
4111356_ks,10.02.2022,619,82.50
411846_ks,10.02.2022,622,23.50
4111983,11.02.2022,938,12.14
411207,11.02.2022,927,12.50
411207,11.02.2022,934,-74.90
411013,11.02.2022,937,36.50
411110,11.02.2022,941,45.52
411237,11.02.2022,948,50.00
411188,11.02.2022,951,140.97
411734,11.02.2022,953,51.00
411072,11.02.2022,961,77.20
411660,11.02.2022,963,20.90
411863,11.02.2022,965,148.25
411853,11.02.2022,967,42.60
411177,12.02.2022,986,-30.00
411196,12.02.2022,998,5.50
411972_ks,11.02.2022,633,90.58
411777_ks,11.02.2022,636,40.68
411268_ks,11.02.2022,639,86.00
411428_ks,11.02.2022,640,55.50
411271_ks,11.02.2022,641,7.00
4111356_ks,11.02.2022,642,64.50
411660,12.02.2022,975,26.70
4111271,12.02.2022,976,52.79
411237,12.02.2022,977,1.35
411237,12.02.2022,985,22.00
411336,12.02.2022,978,60.00
411321,12.02.2022,981,22.60
411110,12.02.2022,982,84.72
4111881,12.02.2022,988,36.07
411013,12.02.2022,989,16.70
411207,12.02.2022,990,205.45
411003,12.02.2022,992,29.00
4111799,12.02.2022,993,167.40
411193,12.02.2022,996,3.00
411863,12.02.2022,997,5.50
411196,12.02.2022,1000,34.70
411734,12.02.2022,1002,18.00
411346,12.02.2022,1003,13.60
411836_ks,12.02.2022,643,44.00
411972_ks,12.02.2022,644,100.00
411282_ks,12.02.2022,654,94.00
411268_ks,12.02.2022,657,130.50
411196,14.02.2022,1042,26.00
411196,14.02.2022,1043,12.05
411196,14.02.2022,1036,121.08
411346,14.02.2022,1005,12.50
411346,14.02.2022,1019,21.90
411346,14.02.2022,1021,37.00
411853,14.02.2022,1006,42.60
411072,14.02.2022,1009,42.00
411072,14.02.2022,1047,9.20
411047,14.02.2022,1010,37.20
411868,14.02.2022,1011,35.20
411188,14.02.2022,1012,19.20
411188,14.02.2022,1025,92.40
411013,14.02.2022,1016,15.00
411183,14.02.2022,1024,12.00
4111671,14.02.2022,1017,9.00
4111671,14.02.2022,1031,18.36
411291,14.02.2022,1020,31.70
411863,14.02.2022,1029,96.00
411321,14.02.2022,1032,25.00
411321,14.02.2022,1044,12.50
4111799,14.02.2022,1037,384.00
411336,14.02.2022,1041,10.08
411207,14.02.2022,1046,79.65
411193,14.02.2022,1048,36.00
411177,14.02.2022,1052,21.60
411630_ks,14.02.2022,658,36.00
411972_ks,14.02.2022,660,61.92
4111416_ks,14.02.2022,662,121.00
411375_ks,14.02.2022,663,78.00
411268_ks,14.02.2022,668,53.00
411428_ks,14.02.2022,671,10.00
411321,15.02.2022,1055,66.90
411321,15.02.2022,1059,2.50
411399,15.02.2022,1056,62.73
411083,15.02.2022,1057,9.00
411013,15.02.2022,1062,80.00
411013,15.02.2022,1082,24.50
411183,15.02.2022,1063,4.90
411207,15.02.2022,1064,275.90
411074,15.02.2022,1066,73.80
411977,15.02.2022,1067,45.70
411863,15.02.2022,1068,146.30
411863,15.02.2022,1081,-90.20
411042,15.02.2022,1071,108.00
411221,15.02.2022,1072,14.00
4111958,15.02.2022,1074,88.10
411377,09.02.2022,853,13.40
411377,15.02.2022,1075,133.90
411605,15.02.2022,1079,148.90
411654_ks,15.02.2022,678,79.80
411417_ks,15.02.2022,686,91.80
411936_ks,15.02.2022,689,16.50
411439_ks,15.02.2022,690,3.72
411072,16.02.2022,1097,15.10
411977,16.02.2022,1085,20.80
411323,16.02.2022,1086,4.10
411106,16.02.2022,1088,114.56
411106,16.02.2022,1092,62.40
411106,16.02.2022,1093,201.00
4111881,16.02.2022,1089,-4.92
411196,16.02.2022,1090,53.71
4111409,16.02.2022,1091,20.80
411027,16.02.2022,1099,32.50
411377,16.02.2022,1103,-73.90
411216,16.02.2022,1101,47.52
411660,16.02.2022,1104,15.00
411590,16.02.2022,1106,49.60
411013,16.02.2022,1108,30.00
411193,16.02.2022,1110,50.00
411042,16.02.2022,1111,110.00
411863,16.02.2022,1113,57.42
4111797,17.02.2022,1128,27.00
411106,17.02.2022,1136,-62.40
411863,17.02.2022,1115,179.27
411064,17.02.2022,1116,15.80
4111983,17.02.2022,1117,4.50
411336,17.02.2022,1119,32.08
411188,17.02.2022,1120,15.36
411188,17.02.2022,1123,13.20
411188,17.02.2022,1138,91.70
411868,17.02.2022,1126,55.40
411868,17.02.2022,1137,30.12
411183,17.02.2022,1127,52.20
411207,17.02.2022,1132,134.70
411072,17.02.2022,1133,5.64
4111263,17.02.2022,1135,16.44
4111271,17.02.2022,1139,9.84
411343_ks,16.02.2022,695,52.00
411854_ks,16.02.2022,698,15.00
411972_ks,16.02.2022,699,136.80
411780_ks,16.02.2022,700,51.00
411836_ks,16.02.2022,706,37.00
411972_ks,16.02.2022,707,36.48
411972_ks,16.02.2022,709,102.58
411268_ks,16.02.2022,710,49.00
411643_ks,16.02.2022,712,34.80
411780_ks,16.02.2022,716,123.00
4111402,18.02.2022,1164,24.80
4111265,18.02.2022,1167,25.60
4111263,18.02.2022,1144,153.72
411863,18.02.2022,1145,90.50
411248,18.02.2022,1146,38.00
411248,18.02.2022,1150,11.00
4111823,18.02.2022,1151,10.66
4111823,18.02.2022,1160,16.39
411196,18.02.2022,1153,94.44
411196,18.02.2022,1156,13.20
411013,18.02.2022,1158,12.19
411193,18.02.2022,1159,22.90
411321,18.02.2022,1162,30.00
411660,18.02.2022,1165,68.00
411074,18.02.2022,1168,30.00
411336,18.02.2022,1170,85.44
411336,18.02.2022,1171,41.04
411634_ks,18.02.2022,717,26.88
411439_ks,18.02.2022,719,368.40
411786_ks,18.02.2022,721,60.72
411417_ks,18.02.2022,722,25.50
411268_ks,18.02.2022,723,155.50
411780_ks,18.02.2022,726,136.00
4111232_ks,18.02.2022,737,37.00
411836_ks,18.02.2022,740,19.00
411237,19.02.2022,1200,13.40
411377,19.02.2022,1184,56.30
411183,19.02.2022,1192,34.80
411196,19.02.2022,1198,8.00
411196,19.02.2022,1197,7.50
411196,19.02.2022,1196,35.40
